trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,delayed,transport_type_encoded,weather_condition_encoded,event_type_encoded,season_encoded
T00000,2023-01-01,05:00:00,Tram,Route_15,Station_31,Station_6,05:02:00,05:55:00,0.5250109191009369,-1.162539118671569,-0.87320201660974,-0.6253915720589741,0.9675429609323588,0.5431382713073115,-0.38963096067915587,1.0526227921013014,0,1,6,0,3,5,1,0
T00001,2023-01-01,05:15:00,Metro,Route_12,Station_49,Station_32,05:16:00,05:55:00,1.0183649542780113,-0.4973441241999484,1.6449755023893455,-0.035121093475704475,-1.0603024016612852,0.2663182050212928,-0.4225375913686669,0.09432398280111805,0,0,6,1,1,3,1,0
T00002,2023-01-01,05:30:00,Bus,Route_16,Station_29,Station_42,05:33:00,06:17:00,-1.4484052216073608,-1.4951366159073791,1.2528717364552318,-1.4616080833852727,0.09846637696365426,0.7334520668789494,-0.4225375913686669,0.5734733874512097,1,0,6,0,0,0,4,0
T00003,2023-01-01,05:45:00,Tram,Route_19,Station_26,Station_18,05:49:00,06:08:00,1.0183649542780113,-0.38647829178801163,1.069889979019312,-0.47782395241315667,0.677850766276124,-0.598744502122516,-0.38963096067915587,1.155297664526321,0,0,6,1,3,0,1,0
T00004,2023-01-01,06:00:00,Tram,Route_8,Station_18,Station_15,06:00:00,06:35:00,-1.4484052216073608,0.05698503785973542,-1.308872867647644,1.2437982767880464,0.040527938032407285,1.4947072491655011,-0.38963096067915587,-0.1452507195239278,0,0,6,1,3,4,1,0
T00005,2023-01-01,06:15:00,Metro,Route_17,Station_32,Station_40,06:15:00,06:56:00,-0.2972458061941872,-1.051673286259632,0.8781948045626343,-1.0189052244478205,-0.4809180123488155,-1.3080959219804391,-0.4225375913686669,-0.31637550689896055,0,0,6,0,1,3,3,0
T00006,2023-01-01,06:30:00,Bus,Route_5,Station_22,Station_32,06:34:00,07:01:00,-0.1327944611351624,1.60910669162685,-1.0039032719211112,-0.18268871312152188,-0.7706102070050503,-0.598744502122516,-0.4225375913686669,-0.9666496989240849,1,1,6,1,0,5,2,0
T00007,2023-01-01,06:45:00,Bus,Route_16,Station_38,Station_9,06:47:00,07:20:00,-1.4484052216073608,1.0547775295671662,1.6536889194101037,-1.1664728440936378,-0.5967948902113094,-1.6022172424093342,-0.4225375913686669,1.1895226220013275,0,0,6,1,0,0,1,0
T00008,2023-01-01,07:00:00,Tram,Route_6,Station_17,Station_37,07:01:00,07:59:00,-0.7905998413712617,0.6113141999194192,-1.5702753782703862,-1.5107972899338784,-0.5967948902113094,-0.7717570435512777,-0.38963096067915587,0.4707985150261901,0,0,6,1,3,0,0,0
T00009,2023-01-01,07:15:00,Train,Route_8,Station_23,Station_10,07:17:00,08:12:00,-0.6261484963122369,-1.162539118671569,-0.5246653357794168,1.3913658964338638,0.735789205207371,-0.9447695849800394,2.8681254775824403,1.2921974944263472,0,0,6,0,2,2,1,0
T00010,2023-01-01,07:30:00,Tram,Route_18,Station_24,Station_20,07:30:00,08:26:00,1.1828162993370361,-0.6082099566118851,-0.26326282515667426,-0.42863474586455086,-1.292056157386273,-1.5330122258378294,-0.4225375913686669,0.09432398280111805,0,0,6,1,3,4,1,0
T00011,2023-01-01,07:45:00,Tram,Route_12,Station_50,Station_6,07:49:00,08:33:00,1.0183649542780113,0.8330458647432927,1.1221704811438606,0.45677097201035355,0.9675429609323588,-0.010501861264725949,-0.29091106861062266,1.394872366851367,0,0,6,1,3,1,1,0
T00012,2023-01-01,08:00:00,Tram,Route_15,Station_8,Station_48,08:04:00,08:37:00,0.1961082289828872,-1.4951366159073791,0.9130484726456668,-0.035121093475704475,0.21434325482614822,-0.0797068778362307,-0.4225375913686669,-1.3773491886241636,0,0,6,0,3,0,2,0
T00013,2023-01-01,08:15:00,Tram,Route_9,Station_41,Station_3,08:17:00,08:44:00,0.1961082289828872,0.9439116971552295,-0.446244582592594,-0.47782395241315667,1.0834198387948528,-1.4292047009805724,0.23559502242155453,0.402348600076177,0,1,6,1,3,5,1,0
T00014,2023-01-01,08:30:00,Metro,Route_13,Station_6,Station_42,08:32:00,09:28:00,1.1828162993370361,-1.4951366159073791,0.21597511098502034,-0.6253915720589741,-0.4229795734175685,-0.80635955183703,-0.38963096067915587,-1.0008746563990916,0,0,6,0,1,5,1,0
T00015,2023-01-01,08:45:00,Bus,Route_15,Station_5,Station_11,08:46:00,09:22:00,0.03165688392386241,-0.27561245937607487,1.157024149226893,-1.1172836375450321,0.4460970105511361,1.5985147740227583,-0.38963096067915587,0.09432398280111805,0,0,6,1,0,2,1,0
